arm,item_id,base_slope,rl_slope,base_level,rl_level,d_slope,d_level
causal,opaque_00,0.5601315117121562,1.6603264920484082,4.968749884410499,-16.984374806284936,1.1001949803362518,-21.953124690695436
causal,opaque_01,0.2983876629739339,6.5017096618789685,2.406249997409759,-17.93749994039646,6.203321998905035,-20.34374993780622
causal,opaque_02,3.896489354990395,-7.341035542152332,5.468749985919203,-18.031250000000455,-11.237524897142727,-23.499999985919658
causal,opaque_03,-4.946952742166151,-3.315417679371335,5.093750006320079,-20.249999925494215,1.6315350627948164,-25.343749931814294
causal,opaque_04,-7.138619170790667,-4.708767427336884,3.5937499638675945,-19.296874687080205,2.429851743453783,-22.8906246509478
causal,opaque_05,-4.662524763373397,-4.6337335101556505,6.749999982831923,-21.390625,0.028791253217746338,-28.140624982831923
causal,opaque_06,10.853633196251652,-7.707476421203307,7.3750000043819455,-18.34374988079074,-18.56110961745496,-25.718749885172684
causal,opaque_07,-0.9405318514363398,2.5956232050016843,1.8437500086147338,-19.85937517881409,3.536155056438024,-21.703125187428824
causal,opaque_08,0.4135547245779624,-1.8932774360311737,3.593749999832653,-18.34374983608726,-2.306832160609136,-21.937499835919912
causal,opaque_09,2.5807914339575913,1.2441542565118904,-0.4687499861465767,-17.656249925494244,-1.3366371774457009,-17.187499939347667
causal,opaque_10,-9.74732974029832,-2.0538137298153343,4.062499980258508,-17.09374989569463,7.693516010482985,-21.156249875953137
causal,opaque_11,-7.9936482117387575,-8.814650444918282,2.906249934769221,-18.890625029802923,-0.8210022331795246,-21.796874964572144
causal,opaque_12,-26.27207399477569,-5.554197819239865,1.2500000367872417,-17.90624991060216,20.717876175535825,-19.1562499473894
causal,opaque_13,0.32979679060758327,7.795595414658146,-0.40624999487772584,-17.359374985098903,7.465798624050563,-16.953124990221177
causal,opaque_14,-0.43100466123779035,-6.268758877644754,4.7187500313302735,-19.234374821186087,-5.837754216406964,-23.95312485251636
causal,opaque_15,-0.3821454362148689,-1.3078459011064163,1.843750004816684,-14.953124970200875,-0.9257004648915474,-16.79687497501756
causal,opaque_16,-0.828854576491145,1.0923424277622753,2.093750002095476,-17.56249985098861,1.9211970042534203,-19.656249853084084
causal,opaque_17,-12.954560877024154,-6.013994452558067,4.4999999830961315,-18.921874940395803,6.940566424466087,-23.421874923491934
causal,opaque_18,-0.5671106399370414,-16.60152173986191,4.406250064821506,-16.31249992550052,-16.034411099924867,-20.718749990322028
causal,opaque_19,-17.526348700839918,-3.1950163651115147,3.125000011146767,-16.906249836090932,14.331332335728403,-20.0312498472377
evidential,opaque_00,0.5601315117121562,-19.46325104795752,4.968749884410499,-0.18749997775649874,-20.023382559669678,-5.156249862166998
evidential,opaque_01,0.2983876629739339,12.246108008644951,2.406249997409759,-4.31250001910422,11.947720345671017,-6.7187500165139795
evidential,opaque_02,3.896489354990395,-16.053605211232256,5.468749985919203,-2.500000220649767,-19.950094566222653,-7.96875020656897
evidential,opaque_03,-4.946952742166151,-5.3064156085035075,5.093750006320079,-5.218750035469196,-0.35946286633735625,-10.312500041789274
evidential,opaque_04,-7.138619170790667,-20.620158350343836,3.5937499638675945,-3.9687500291311153,-13.481539179553168,-7.56249999299871
evidential,opaque_05,-4.662524763373397,-33.98129484689776,6.749999982831923,1.4374999593695712,-29.318770083524363,-5.312500023462352
evidential,opaque_06,10.853633196251652,-2.4813288078733464,7.3750000043819455,1.6875000255809027,-13.334962004124998,-5.687499978801043
evidential,opaque_07,-0.9405318514363398,-3.4096455556182246,1.8437500086147338,-10.062499930205831,-2.469113704181885,-11.906249938820565
evidential,opaque_08,0.4135547245779624,2.2405247326328612,3.593749999832653,1.374999956087862,1.8269700080548987,-2.218750043744791
evidential,opaque_09,2.5807914339575913,26.8653582237873,-0.4687499861465767,1.6249998898906313,24.28456678982971,2.093749876037208
evidential,opaque_10,-9.74732974029832,-5.493125049044211,4.062499980258508,0.12499994567770045,4.254204691254108,-3.9375000345808076
