item_id,p,repeat,p_non_cdt,margin,is_k
opaque_00,0.5,0,0.9999989322970027,13.749999880791279,1.0
opaque_00,0.6,0,0.9999417087274893,9.749999882489647,1.0
opaque_00,0.7,0,0.9241418267688303,2.5000000968575478,1.0
opaque_00,0.75,0,0.9947798743644765,5.250000011175871,1.0
opaque_00,0.8,0,0.9706877672877219,3.4999999310821295,1.0
opaque_00,0.85,0,0.9999998555019791,15.749999880790718,1.0
opaque_00,0.9,0,0.9959298622161507,5.499999983236194,1.0
opaque_00,0.99,0,0.9999999973534264,19.75,1.0
opaque_01,0.5,0,0.0011695103004128338,-6.749999969732016,0.0
opaque_01,0.6,0,0.010986941578116865,-4.500000096857548,0.0
opaque_01,0.7,0,0.0293122327122782,-3.4999999310821295,0.0
opaque_01,0.75,0,0.9984988180062319,6.50000017543789,1.0
opaque_01,0.8,0,0.0003353500316799018,-8.000000294676283,0.0
opaque_01,0.85,0,0.5,0.0,1.0
opaque_01,0.9,0,0.09534946232842245,-2.2500000298023224,0.0
opaque_01,0.99,0,0.014063626423394072,-4.250000044703484,0.0
opaque_02,0.5,0,0.002472622943003016,-6.000000086612999,0.0
opaque_02,0.6,0,0.8807970826714613,2.0000000447034836,1.0
opaque_02,0.7,0,0.001926734293943221,-6.250000192085281,0.0
opaque_02,0.75,0,0.0004305570927227883,-7.749999973515514,0.0
opaque_02,0.8,0,0.6791786926816161,0.7499999701976776,1.0
opaque_02,0.85,0,3.5356254934266316e-05,-10.249999881416443,0.0
opaque_02,0.9,0,0.01798621187025419,-3.9999998919665813,0.0
opaque_02,0.99,0,0.004070137783849419,-5.499999983236194,0.0
opaque_03,0.5,0,0.00857748525531428,-4.7500000186264515,0.0
opaque_03,0.6,0,0.0002611903101813263,-8.250000034138793,0.0
opaque_03,0.7,0,0.00857748525531428,-4.7500000186264515,0.0
opaque_03,0.75,0,0.00020342704657999323,-8.499999663079507,0.0
opaque_03,0.8,0,0.9399133496156019,2.7499999962747097,1.0
opaque_03,0.85,0,0.014063626423394072,-4.250000044703484,0.0
opaque_03,0.9,0,0.22270013882530884,-1.25,0.0
opaque_03,0.99,0,0.18242551491653522,-1.5000000596046448,0.0
opaque_04,0.5,0,0.9997388096898188,8.250000034138793,1.0
opaque_04,0.6,0,0.11920291732853862,-2.0000000447034836,0.0
opaque_04,0.7,0,0.9999038976078541,9.250000243031536,1.0
opaque_04,0.75,0,0.014063626423394072,-4.250000044703484,0.0
opaque_04,0.8,0,0.4378234991142019,-0.25,0.0
opaque_04,0.85,0,0.9399133496156019,2.7499999962747097,1.0
opaque_04,0.9,0,0.6224593312018546,0.5,1.0
opaque_04,0.99,0,0.14804719991116141,-1.7499999850988388,0.0
opaque_05,0.5,0,0.9999996072136592,14.749999642372188,1.0
opaque_05,0.6,0,0.9999997617630333,15.24999976158145,1.0
opaque_05,0.7,0,0.9626731105140616,3.2499999403953552,1.0
opaque_05,0.75,0,0.9968273169307178,5.749999928288162,1.0
opaque_05,0.8,0,0.9999977396748937,12.999999642374632,1.0
