item_id,p,repeat,p_non_cdt,margin,is_k
opaque_00,0.5,0,0.99979657295342,8.499999663079507,1.0
opaque_00,0.6,0,0.9999999468421502,16.75,1.0
opaque_00,0.7,0,3.059023363247549e-07,-14.999999642372188,0.0
opaque_00,0.75,0,0.002472622943003016,-6.000000086612999,0.0
opaque_00,0.8,0,7.484626298776402e-05,-9.499999525964085,0.0
opaque_00,0.85,0,0.9999646437450659,10.249999881416443,1.0
opaque_00,0.9,0,1.8553914607279394e-07,-15.49999976158145,0.0
opaque_00,0.99,0,0.9998766053808289,8.999999649982783,1.0
opaque_01,0.5,0,3.5356254934266316e-05,-10.249999881416443,0.0
opaque_01,0.6,0,0.00247262323588527,-5.999999967869371,0.0
opaque_01,0.7,0,0.0011695103004128338,-6.749999969732016,0.0
opaque_01,0.75,0,0.9890130597678383,4.50000022072345,1.0
opaque_01,0.8,0,0.0019267345227375813,-6.250000073108822,0.0
opaque_01,0.85,0,4.785094494835719e-06,-12.250000000011369,0.0
opaque_01,0.9,0,0.9999921107355331,11.749999761612344,1.0
opaque_01,0.99,0,9.610239214580366e-05,-9.250000243031536,0.0
opaque_02,0.5,0,0.0007096703049020562,-7.250000132829882,0.0
opaque_02,0.6,0,0.9999998144608098,15.499999523162955,1.0
opaque_02,0.7,0,2.1444943303118133e-05,-10.750000238653229,0.0
opaque_02,0.75,0,3.7266401726528956e-06,-12.499999761589606,0.0
opaque_02,0.8,0,0.9999251537370123,9.499999525964085,1.0
opaque_02,0.85,0,0.9997388096898188,8.250000034138793,1.0
opaque_02,0.9,0,1.0129987357628251e-05,-11.5000003576788,0.0
opaque_02,0.99,0,1.3007123813725573e-05,-11.250000357712452,0.0
opaque_03,0.5,0,0.00012339461917113592,-8.999999649982783,0.0
opaque_03,0.6,0,0.00015843623599953396,-8.749999893334461,0.0
opaque_03,0.7,0,0.00020342704657999323,-8.499999663079507,0.0
opaque_03,0.75,0,0.9999832985701904,10.999999523302904,1.0
opaque_03,0.8,0,0.9999997617630333,15.24999976158145,1.0
opaque_03,0.85,0,9.237449576640118e-09,-18.5,0.0
opaque_03,0.9,0,8.315279285380715e-07,-14.00000011920963,0.0
opaque_03,0.99,0,9.610239214580366e-05,-9.250000243031536,0.0
opaque_04,0.5,0,0.9959298622161507,5.499999983236194,1.0
opaque_04,0.6,0,0.00012339461917113592,-8.999999649982783,0.0
opaque_04,0.7,0,0.9947798743644765,5.250000011175871,1.0
opaque_04,0.75,0,0.03732688948593843,-3.2499999403953552,0.0
opaque_04,0.8,0,9.610239214580366e-05,-9.250000243031536,0.0
opaque_04,0.85,0,0.002472622943003016,-6.000000086612999,0.0
opaque_04,0.9,0,4.5397852420729034e-05,-10.000000358661055,0.0
opaque_04,0.99,0,0.006692851264816554,-4.999999948777258,0.0
opaque_05,0.5,0,0.9999993524054333,14.25000035762804,1.0
opaque_05,0.6,0,0.999447221447556,7.500000152911525,1.0
