item_id,p,repeat,p_non_cdt,margin,is_k
opaque_00,0.5,0,0.2689414213699951,-1.0,0.0
opaque_00,0.5,1,0.600188359260205,0.40625,1.0
opaque_00,0.6,0,0.04208772791561884,-3.125,0.0
opaque_00,0.6,1,0.46879062662624377,-0.125,0.0
opaque_00,0.7,0,0.9615338432547773,3.2187509536743164,1.0
opaque_00,0.7,1,0.37754066879814546,-0.5,0.0
opaque_00,0.75,0,0.8872045937171068,2.0625,1.0
opaque_00,0.75,1,0.7662936430859597,1.1875,1.0
opaque_00,0.8,0,0.9626731126558706,3.25,1.0
opaque_00,0.8,1,0.9648551212603956,3.3124990463256836,1.0
opaque_00,0.85,0,0.19193278644723683,-1.4375,0.0
opaque_00,0.85,1,0.341582499438317,-0.65625,0.0
opaque_00,0.9,0,0.5774953651858118,0.3125,1.0
opaque_00,0.9,1,0.45326184801538616,-0.1875,0.0
opaque_00,0.99,0,0.48438008427698437,-0.0625,0.0
opaque_00,0.99,1,0.48438008427698437,-0.0625,0.0
opaque_01,0.5,0,0.7057850278370112,0.875,1.0
opaque_01,0.5,1,0.8438951025545426,1.6875,1.0
opaque_01,0.6,0,0.8354835371034369,1.625,1.0
opaque_01,0.6,1,0.5774953651858118,0.3125,1.0
opaque_01,0.7,0,0.9579123105330329,3.1250009536743164,1.0
opaque_01,0.7,1,0.8354835371034369,1.625,1.0
opaque_01,0.75,0,0.5,0.0,1.0
opaque_01,0.75,1,0.5,0.0,1.0
opaque_01,0.8,0,0.5926665999540697,0.375,1.0
opaque_01,0.8,1,0.11596071825396677,-2.03125,0.0
opaque_01,0.85,0,0.2689414213699951,-1.0,0.0
opaque_01,0.85,1,0.8438951025545426,1.6875,1.0
opaque_01,0.9,0,0.7549149868676283,1.125,1.0
opaque_01,0.9,1,0.679178699175393,0.75,1.0
opaque_01,0.99,0,0.5774953651858118,0.3125,1.0
opaque_01,0.99,1,0.23370635691404026,-1.1875,0.0
opaque_02,0.5,0,0.7371581626286834,1.03125,1.0
opaque_02,0.5,1,0.7431680086124811,1.0625,1.0
opaque_02,0.6,0,0.13296424019782924,-1.875,0.0
opaque_02,0.6,1,0.3923368301671084,-0.4375,0.0
opaque_02,0.7,0,0.9591542840900507,3.15625,1.0
opaque_02,0.7,1,0.8221891305219503,1.53125,1.0
opaque_02,0.75,0,0.8596637505099167,1.8125,1.0
opaque_02,0.75,1,0.8175744761936437,1.5,1.0
opaque_02,0.8,0,0.19193278644723683,-1.4375,0.0
opaque_02,0.8,1,0.7549149868676283,1.125,1.0
opaque_02,0.85,0,0.7431680086124811,1.0625,1.0
opaque_02,0.85,1,0.8128673178375735,1.46875,1.0
