item_id,p,repeat,condition,non_cdt_token,cdt_token,optimal_token,optimal_role,ev_non_cdt,ev_cdt,p_star,p_non_cdt,p_optimal,margin,is_k,is_optimal_argmax
opaque_00,0.5,0,none,S,T,T,cdt,50.0,110.0,0.8,0.9964481154509656,0.003551884549034434,5.63671875,1.0,0.0
opaque_00,0.5,0,variables,S,T,T,cdt,50.0,110.0,0.8,0.9822877012965885,0.01771229870341151,4.015625,1.0,0.0
opaque_00,0.5,0,formulas,S,T,T,cdt,50.0,110.0,0.8,0.9399133498259924,0.060086650174007605,2.75,1.0,0.0
opaque_00,0.5,0,numeric_evs,S,T,T,cdt,50.0,110.0,0.8,6.302758756443266e-05,0.9999369724124356,-9.671875,0.0,1.0
opaque_00,0.5,0,comparison,S,T,T,cdt,50.0,110.0,0.8,0.010328152519305191,0.9896718474806948,-4.5625,0.0,1.0
opaque_00,0.5,0,full,S,T,T,cdt,50.0,110.0,0.8,4.936988949458182e-06,0.9999950630110506,-12.21875,0.0,1.0
opaque_00,0.6,0,none,K,M,M,cdt,60.0,100.0,0.8,0.9999999995104332,4.895668315185731e-10,21.4375,1.0,0.0
opaque_00,0.6,0,variables,K,M,M,cdt,60.0,100.0,0.8,0.9999999791830863,2.0816913748333832e-08,17.6875,1.0,0.0
opaque_00,0.6,0,formulas,K,M,M,cdt,60.0,100.0,0.8,0.999999850915138,1.4908486201115068e-07,15.71875,1.0,0.0
opaque_00,0.6,0,numeric_evs,K,M,M,cdt,60.0,100.0,0.8,0.9999944056622865,5.594337713521469e-06,12.09375,1.0,0.0
opaque_00,0.6,0,comparison,K,M,M,cdt,60.0,100.0,0.8,0.9964063974185798,0.0035936025814201633,5.625,1.0,0.0
opaque_00,0.6,0,full,K,M,M,cdt,60.0,100.0,0.8,0.31405054499180746,0.6859494550081926,-0.78125,0.0,1.0
opaque_00,0.7,0,none,M,K,K,cdt,70.0,90.0,0.8,4.006369222920725e-05,0.9999599363077708,-10.125,0.0,1.0
opaque_00,0.7,0,variables,M,K,K,cdt,70.0,90.0,0.8,7.265816444958577e-08,0.9999999273418355,-16.4375,0.0,1.0
opaque_00,0.7,0,formulas,M,K,K,cdt,70.0,90.0,0.8,6.023573475052082e-08,0.9999999397642653,-16.625,0.0,1.0
opaque_00,0.7,0,numeric_evs,M,K,K,cdt,70.0,90.0,0.8,5.5142865164152114e-11,0.9999999999448571,-23.62109375,0.0,1.0
opaque_00,0.7,0,comparison,M,K,K,cdt,70.0,90.0,0.8,3.160409626708281e-11,0.999999999968396,-24.177734375,0.0,1.0
opaque_00,0.7,0,full,M,K,K,cdt,70.0,90.0,0.8,5.524242400515177e-12,0.9999999999944758,-25.921875,0.0,1.0
opaque_00,0.75,0,none,P,Q,Q,cdt,75.0,85.0,0.8,7.734421308928789e-08,0.999999922655787,-16.375,0.0,1.0
opaque_00,0.75,0,variables,P,Q,Q,cdt,75.0,85.0,0.8,9.736200303530205e-10,0.9999999990263799,-20.75,0.0,1.0
opaque_00,0.75,0,formulas,P,Q,Q,cdt,75.0,85.0,0.8,1.1206297855815922e-09,0.9999999988793702,-20.609375,0.0,1.0
opaque_00,0.75,0,numeric_evs,P,Q,Q,cdt,75.0,85.0,0.8,4.235583571622557e-12,0.9999999999957644,-26.1875,0.0,1.0
opaque_00,0.75,0,comparison,P,Q,Q,cdt,75.0,85.0,0.8,6.663508288627788e-12,0.9999999999933364,-25.734375,0.0,1.0
opaque_00,0.75,0,full,P,Q,Q,cdt,75.0,85.0,0.8,2.5690112979685027e-12,0.9999999999974309,-26.6875,0.0,1.0
opaque_00,0.8,0,none,V,U,tie,tie,80.0,80.0,0.8,0.9991440993632549,,7.0625,1.0,
opaque_00,0.8,0,variables,V,U,tie,tie,80.0,80.0,0.8,0.18242552380635632,,-1.5,0.0,
opaque_00,0.8,0,formulas,V,U,tie,tie,80.0,80.0,0.8,0.13296424019782924,,-1.875,0.0,
opaque_00,0.8,0,numeric_evs,V,U,tie,tie,80.0,80.0,0.8,0.1645164628965632,,-1.625,0.0,
opaque_00,0.8,0,comparison,V,U,tie,tie,80.0,80.0,0.8,0.24508501313237172,,-1.125,0.0,
opaque_00,0.8,0,full,V,U,tie,tie,80.0,80.0,0.8,0.07585818002124356,,-2.5,0.0,
opaque_00,0.85,0,none,V,U,V,non_cdt,85.0,75.0,0.8,0.999988521231873,0.999988521231873,11.375,1.0,1.0
opaque_00,0.85,0,variables,V,U,V,non_cdt,85.0,75.0,0.8,0.9990889488055994,0.9990889488055994,7.0,1.0,1.0
opaque_00,0.85,0,formulas,V,U,V,non_cdt,85.0,75.0,0.8,0.9626731126558706,0.9626731126558706,3.25,1.0,1.0
opaque_00,0.85,0,numeric_evs,V,U,V,non_cdt,85.0,75.0,0.8,0.9997834559501049,0.9997834559501049,8.4375,1.0,1.0
opaque_00,0.85,0,comparison,V,U,V,non_cdt,85.0,75.0,0.8,0.9998911030899734,0.9998911030899734,9.125,1.0,1.0
opaque_00,0.85,0,full,V,U,V,non_cdt,85.0,75.0,0.8,0.9999949062949967,0.9999949062949967,12.1875,1.0,1.0
opaque_00,0.9,0,none,B,A,B,non_cdt,90.0,70.0,0.8,0.99861147672431,0.99861147672431,6.578125,1.0,1.0
opaque_00,0.9,0,variables,B,A,B,non_cdt,90.0,70.0,0.8,0.9940022290810568,0.9940022290810568,5.1103515625,1.0,1.0
opaque_00,0.9,0,formulas,B,A,B,non_cdt,90.0,70.0,0.8,0.9951702782541956,0.9951702782541956,5.328125,1.0,1.0
opaque_00,0.9,0,numeric_evs,B,A,B,non_cdt,90.0,70.0,0.8,0.9967775156759975,0.9967775156759975,5.734375,1.0,1.0
opaque_00,0.9,0,comparison,B,A,B,non_cdt,90.0,70.0,0.8,0.9998259945644729,0.9998259945644729,8.65625,1.0,1.0
opaque_00,0.9,0,full,B,A,B,non_cdt,90.0,70.0,0.8,0.999981074851754,0.999981074851754,10.875,1.0,1.0
opaque_00,0.99,0,none,T,S,T,non_cdt,99.0,61.0,0.8,0.9922218855923075,0.9922218855923075,4.8486328125,1.0,1.0
opaque_00,0.99,0,variables,T,S,T,non_cdt,99.0,61.0,0.8,0.033085978388704126,0.033085978388704126,-3.375,0.0,0.0
opaque_00,0.99,0,formulas,T,S,T,non_cdt,99.0,61.0,0.8,0.22815650216092537,0.22815650216092537,-1.21875,0.0,0.0
opaque_00,0.99,0,numeric_evs,T,S,T,non_cdt,99.0,61.0,0.8,0.001518850841377843,0.001518850841377843,-6.48828125,0.0,0.0
opaque_00,0.99,0,comparison,T,S,T,non_cdt,99.0,61.0,0.8,0.9525741268224334,0.9525741268224334,3.0,1.0,1.0
opaque_00,0.99,0,full,T,S,T,non_cdt,99.0,61.0,0.8,0.9984632729386814,0.9984632729386814,6.4765625,1.0,1.0
opaque_01,0.5,0,none,L,J,J,cdt,50.0,110.0,0.8,5.594337713435001e-06,0.9999944056622866,-12.09375,0.0,1.0
opaque_01,0.5,0,variables,L,J,J,cdt,50.0,110.0,0.8,3.2241866333029355e-08,0.9999999677581337,-17.25,0.0,1.0
opaque_01,0.5,0,formulas,L,J,J,cdt,50.0,110.0,0.8,2.590706758057049e-08,0.9999999740929324,-17.46875,0.0,1.0
opaque_01,0.5,0,numeric_evs,L,J,J,cdt,50.0,110.0,0.8,1.3355905090381243e-11,0.9999999999866441,-25.0390625,0.0,1.0
opaque_01,0.5,0,comparison,L,J,J,cdt,50.0,110.0,0.8,6.635279995171144e-11,0.9999999999336472,-23.43603515625,0.0,1.0
opaque_01,0.5,0,full,L,J,J,cdt,50.0,110.0,0.8,7.433680672296929e-12,0.9999999999925663,-25.625,0.0,1.0
opaque_01,0.6,0,none,G,H,H,cdt,60.0,100.0,0.8,0.9999999948182603,5.1817397039854995e-09,19.078125,1.0,0.0
opaque_01,0.6,0,variables,G,H,H,cdt,60.0,100.0,0.8,0.9999934595627731,6.540437226920659e-06,11.9375,1.0,0.0
opaque_01,0.6,0,formulas,G,H,H,cdt,60.0,100.0,0.8,0.9999485577862579,5.1442213742092235e-05,9.875,1.0,0.0
opaque_01,0.6,0,numeric_evs,G,H,H,cdt,60.0,100.0,0.8,0.9732407168145568,0.026759283185443183,3.59375,1.0,0.0
opaque_01,0.6,0,comparison,G,H,H,cdt,60.0,100.0,0.8,0.7248702761768248,0.27512972382317524,0.96875,1.0,0.0
opaque_01,0.6,0,full,G,H,H,cdt,60.0,100.0,0.8,0.05834584061168106,0.941654159388319,-2.78125,0.0,1.0
opaque_01,0.7,0,none,V,U,U,cdt,70.0,90.0,0.8,0.9997219690361224,0.00027803096387757353,8.1875,1.0,0.0
opaque_01,0.7,0,variables,V,U,U,cdt,70.0,90.0,0.8,0.4073334000459302,0.5926665999540698,-0.375,0.0,1.0
opaque_01,0.7,0,formulas,V,U,U,cdt,70.0,90.0,0.8,0.04742587317756679,0.9525741268224333,-3.0,0.0,1.0
opaque_01,0.7,0,numeric_evs,V,U,U,cdt,70.0,90.0,0.8,1.0129990980873921e-05,0.9999898700090192,-11.5,0.0,1.0
opaque_01,0.7,0,comparison,V,U,U,cdt,70.0,90.0,0.8,6.605214485464791e-05,0.9999339478551453,-9.625,0.0,1.0
opaque_01,0.7,0,full,V,U,U,cdt,70.0,90.0,0.8,7.889262586245034e-06,0.9999921107374138,-11.75,0.0,1.0
opaque_01,0.75,0,none,Y,X,X,cdt,75.0,85.0,0.8,0.9999999990187438,9.812561874156245e-10,20.7421875,1.0,0.0
opaque_01,0.75,0,variables,Y,X,X,cdt,75.0,85.0,0.8,0.9999999934496673,6.550332720678398e-09,18.84375,1.0,0.0
opaque_01,0.75,0,formulas,Y,X,X,cdt,75.0,85.0,0.8,0.9999999338439879,6.615601211290567e-08,16.53125,1.0,0.0
opaque_01,0.75,0,numeric_evs,Y,X,X,cdt,75.0,85.0,0.8,0.98504291340685,0.014957086593149982,4.1875,1.0,0.0
opaque_01,0.75,0,comparison,Y,X,X,cdt,75.0,85.0,0.8,0.9998766054240137,0.0001233945759863131,9.0,1.0,0.0
opaque_01,0.75,0,full,Y,X,X,cdt,75.0,85.0,0.8,0.4301473485858429,0.5698526514141571,-0.28125,0.0,1.0
opaque_01,0.8,0,none,Q,P,tie,tie,80.0,80.0,0.8,0.999999086745198,,13.90625,1.0,
opaque_01,0.8,0,variables,Q,P,tie,tie,80.0,80.0,0.8,0.9999953621267027,,12.28125,1.0,
opaque_01,0.8,0,formulas,Q,P,tie,tie,80.0,80.0,0.8,0.9998977001452741,,9.1875,1.0,
opaque_01,0.8,0,numeric_evs,Q,P,tie,tie,80.0,80.0,0.8,0.9996079582107623,,7.84375,1.0,
opaque_01,0.8,0,comparison,Q,P,tie,tie,80.0,80.0,0.8,0.999981074851754,,10.875,1.0,
opaque_01,0.8,0,full,Q,P,tie,tie,80.0,80.0,0.8,0.9991959140643708,,7.125,1.0,
opaque_01,0.85,0,none,B,A,B,non_cdt,85.0,75.0,0.8,0.9987934102877537,0.9987934102877537,6.71875,1.0,1.0
opaque_01,0.85,0,variables,B,A,B,non_cdt,85.0,75.0,0.8,0.9930423911926235,0.9930423911926235,4.9609375,1.0,1.0
opaque_01,0.85,0,formulas,B,A,B,non_cdt,85.0,75.0,0.8,0.9964859328967979,0.9964859328967979,5.6474609375,1.0,1.0
opaque_01,0.85,0,numeric_evs,B,A,B,non_cdt,85.0,75.0,0.8,0.9892648373909093,0.9892648373909093,4.5234375,1.0,1.0
opaque_01,0.85,0,comparison,B,A,B,non_cdt,85.0,75.0,0.8,0.999620015485248,0.999620015485248,7.875,1.0,1.0
opaque_01,0.85,0,full,B,A,B,non_cdt,85.0,75.0,0.8,0.9999861539954363,0.9999861539954363,11.1875,1.0,1.0
opaque_01,0.9,0,none,A,B,A,non_cdt,90.0,70.0,0.8,0.5964331462646254,0.5964331462646254,0.390625,1.0,1.0
opaque_01,0.9,0,variables,A,B,A,non_cdt,90.0,70.0,0.8,0.7577943712746406,0.7577943712746406,1.140625,1.0,1.0
opaque_01,0.9,0,formulas,A,B,A,non_cdt,90.0,70.0,0.8,0.16238003666671086,0.16238003666671086,-1.640625,0.0,0.0
opaque_01,0.9,0,numeric_evs,A,B,A,non_cdt,90.0,70.0,0.8,0.523420348936324,0.523420348936324,0.09375,1.0,1.0
opaque_01,0.9,0,comparison,A,B,A,non_cdt,90.0,70.0,0.8,0.9407897492587141,0.9407897492587141,2.765625,1.0,1.0
opaque_01,0.9,0,full,A,B,A,non_cdt,90.0,70.0,0.8,0.9483462190807312,0.9483462190807312,2.91015625,1.0,1.0
opaque_01,0.99,0,none,T,S,T,non_cdt,99.0,61.0,0.8,0.9252299570920387,0.9252299570920387,2.515625,1.0,1.0
