variant,p,cred_full_major_alone_mean,cred_full_both_mean,gap_mean,gap_se,ref_2pm1,phrasing_sd_mean,sum_check_mean,is_degenerate,n_items,gap_adj_mean
direct,0.5,0.7350000000000001,0.5,0.23500000000000001,0.05040624439178355,0.0,0.0,1.2349999999999999,False,20,0.0
direct,0.6,0.6,0.4000000000000001,0.2,0.014509525002200234,0.19999999999999996,0.0,1.0,False,20,-0.035
direct,0.7,0.7224999999999998,0.29999999999999993,0.42250000000000004,0.015591411265923234,0.3999999999999999,0.0,1.0225,False,20,0.18750000000000003
direct,0.75,0.762,0.25,0.512,0.009695359714832654,0.5,0.0,1.012,False,20,0.277
direct,0.8,0.8075000000000001,0.20000000000000004,0.6075,0.007499999999999997,0.6000000000000001,0.0,1.0074999999999998,False,20,0.37250000000000005
direct,0.85,0.85,0.18499999999999997,0.6649999999999998,0.034999999999999996,0.7,0.0,1.035,False,20,0.4299999999999998
direct,0.9,0.8999999999999998,0.10000000000000002,0.8000000000000002,2.54702629954375e-17,0.8,0.0,1.0,False,20,0.5650000000000002
direct,0.99,0.9899999999999997,0.9984999999999999,-0.008500000000000008,0.000819178021909126,0.98,0.0,1.9885000000000002,True,20,-0.24350000000000002
prediction,0.5,0.9295725247066382,0.13949968211437036,0.790072842592268,0.024145574848933208,0.0,0.10531633994483192,1.0690722068210088,False,20,0.0
prediction,0.6,0.9116338696329478,0.1367495627489261,0.7748843068840217,0.03175765274123023,0.19999999999999996,0.09270957865581705,1.048383432381874,False,20,-0.015188535708246298
prediction,0.7,0.9394577906777608,0.09400188099663052,0.8454559096811302,0.021383795017933922,0.3999999999999999,0.07241315993369861,1.0334596716743916,False,20,0.0553830670888622
prediction,0.75,0.9233067902936293,0.12560697406230348,0.7976998162313256,0.028498078481071405,0.5,0.1018326015398275,1.0489137643559325,False,20,0.0076269736390576215
prediction,0.8,0.956489919964703,0.0998774786240283,0.8566124413406747,0.01856487317357611,0.6000000000000001,0.0675641880985546,1.0563673985887314,False,20,0.06653959874840676
prediction,0.85,0.9273341720004498,0.11124057061359208,0.8160936013868577,0.028624901769811927,0.7,0.08664716436637018,1.038574742614042,False,20,0.02602075879458976
prediction,0.9,0.9436534932544743,0.09233813722288735,0.8513153560315871,0.020541832709890875,0.8,0.07437514551880389,1.0359916304773618,False,20,0.06124251343931919
prediction,0.99,0.9521880192686247,0.10474196042325457,0.8474460588453703,0.024701529867569665,0.98,0.0827122084139687,1.0569299796918792,False,20,0.05737321625310232
