variant,p,cred_full_major_alone_mean,cred_full_both_mean,gap_mean,gap_se,ref_2pm1,phrasing_sd_mean,sum_check_mean,is_degenerate,n_items,action_margin_mean
outcome,0.5,0.9905356331775138,0.8080948626423357,0.1824407705351782,0.039121357486702556,0.0,0.06029848968719802,1.7986304958198498,False,20,4.774999955863132
outcome,0.6,0.9906786700840321,0.7997499779185315,0.19092869216550054,0.04594167669847044,0.19999999999999996,0.04667697353097849,1.7904286480025635,False,20,4.124999944488081
outcome,0.7,0.9911090402872821,0.7821142705150395,0.20899476977224252,0.04731758369069904,0.3999999999999999,0.05885863112717701,1.7732233108023217,False,20,3.66250004399044
outcome,0.75,0.9931654427463249,0.8277917555158656,0.16537368723045942,0.039226961153337944,0.5,0.05179698047581045,1.8209571982621902,False,20,3.387499959143315
outcome,0.8,0.9934354760187712,0.8181122073408285,0.17532326867794304,0.04042217380225524,0.6000000000000001,0.04853251872779407,1.8115476833595998,False,20,2.387499996920815
outcome,0.85,0.9938566305268344,0.8153093029636477,0.1785473275631866,0.04364828288087798,0.7,0.050548350261004536,1.809165933490482,False,20,3.9375000312942574
outcome,0.9,0.9951521598425929,0.8070937848906989,0.18805837495189406,0.03852301243718214,0.8,0.053654331724769945,1.8022459447332921,False,20,1.9125000055326384
outcome,0.99,0.9963422468138223,0.8084797434247104,0.18786250338911184,0.04712211661426038,0.98,0.04910458034096442,1.8048219902385323,False,20,3.46250002344168
prediction,0.5,0.9790411524983099,0.693059905707126,0.28598124679118414,0.02598654361698283,0.0,0.09570759065585539,1.672101058205436,False,20,4.774999955863132
prediction,0.6,0.9760040644865864,0.7466447640114285,0.2293593004751576,0.027048560924315575,0.19999999999999996,0.08308419833553742,1.7226488284980146,False,20,4.124999944488081
prediction,0.7,0.9797803800207785,0.7361019197399983,0.24367846028078027,0.02360093876073384,0.3999999999999999,0.1023717554813726,1.7158822997607768,False,20,3.66250004399044
prediction,0.75,0.9854946829633127,0.7377820076537815,0.24771267530953126,0.026021902408979013,0.5,0.10272228327177227,1.7232766906170944,False,20,3.387499959143315
prediction,0.8,0.9896893573620403,0.7728336847248095,0.21685567263723077,0.024554874544961684,0.6000000000000001,0.09177539771886152,1.76252304208685,False,20,2.387499996920815
prediction,0.85,0.9864001136565852,0.8148170547576198,0.17158305889896558,0.021217715877972623,0.7,0.08811372036533,1.801217168414205,False,20,3.9375000312942574
prediction,0.9,0.9725710949452001,0.7651111226413827,0.20745997230381724,0.02107721992472247,0.8,0.10625853627316326,1.7376822175865825,False,20,1.9125000055326384
prediction,0.99,0.9832833446818547,0.7322166243216351,0.25106672036021926,0.027853787618839023,0.98,0.10221358362518695,1.7154999690034898,False,20,3.46250002344168
direct,0.5,0.41875,0.3875,0.03125,0.034975320246079085,0.0,0.0,0.80625,False,20,4.774999955863132
direct,0.6,0.41600000000000004,0.3870000000000001,0.02899999999999998,0.020389625845151332,0.19999999999999996,0.0,0.8029999999999999,False,20,4.124999944488081
direct,0.7,0.5459999999999999,0.3045,0.2415,0.03193146443639301,0.3999999999999999,0.0,0.8504999999999999,False,20,3.66250004399044
direct,0.75,0.68125,0.290625,0.390625,0.045989442080707356,0.5,0.0,0.971875,False,20,3.387499959143315
direct,0.8,0.6500000000000001,0.20000000000000004,0.45,0.04261208131133953,0.6000000000000001,0.0,0.85,False,20,2.387499996920815
direct,0.85,0.7507499999999999,0.14999999999999997,0.6007499999999999,0.04711132532294342,0.7,0.0,0.90075,False,20,3.9375000312942574
direct,0.9,0.7945,0.10000000000000002,0.6945000000000001,0.05126030063365442,0.8,0.0,0.8945000000000001,False,20,1.9125000055326384
direct,0.99,0.9654999999999998,0.05750000000000001,0.9079999999999998,0.053737177173036506,0.98,0.0,1.0230000000000001,False,20,3.46250002344168
